#
# Filename : /home/foohm/BAP/SOLVER/EXPT/database/d182/trans082.dat
# Date of creation : Sat Aug 22 04:19:40 1998
# Created using : /home/foohm/BAP/SOLVER/EXPT/bin/GenTrans
# Random seed = 6923542
# Algo = 1
# Traffic File : /home/foohm/BAP/SOLVER/EXPT/temp/traf.tmp
# Vessel File : /home/foohm/BAP/SOLVER/EXPT/database/d182/ves082.dat
#

_NUM_VES
167

_TRANS_MAT
0 66 3
0 101 11
0 120 38
1 30 38
1 52 7
2 1 8
2 0 3
2 89 11
2 111 23
3 19 23
3 164 7
4 60 32
4 107 13
5 23 2
5 100 43
6 12 5
6 18 27
6 152 11
6 154 2
7 31 41
7 93 11
8 2 10
8 59 20
9 40 4
9 45 5
9 62 16
9 157 20
10 53 18
10 64 4
10 158 8
11 22 32
11 136 13
12 48 1
12 81 14
12 116 30
13 63 20
13 103 4
13 156 21
14 11 2
14 76 24
14 133 19
15 80 6
15 123 25
15 140 8
15 154 6
16 13 2
16 14 19
16 37 29
16 51 2
17 34 6
17 87 14
17 90 18
17 119 14
18 65 32
18 94 13
19 21 11
19 96 18
19 118 22
19 133 1
20 67 25
20 99 27
21 17 7
21 29 10
21 62 4
21 97 11
21 159 13
22 102 10
22 126 35
23 57 26
23 80 26
24 69 3
24 79 27
24 156 15
25 84 24
25 103 9
25 107 3
25 121 16
26 6 23
26 21 12
26 86 1
26 95 16
27 39 30
27 47 22
28 82 37
28 154 15
29 25 19
29 50 14
29 54 3
29 139 9
30 14 5
30 16 9
30 142 15
30 145 16
31 4 14
31 128 12
31 131 26
32 3 11
32 10 12
32 64 2
32 108 20
33 12 9
33 101 3
33 103 16
33 129 8
33 132 7
33 159 9
34 40 23
34 113 8
34 124 3
34 141 11
35 0 8
35 58 2
35 102 35
36 66 6
36 110 39
37 59 19
37 75 23
37 128 10
38 103 5
38 109 16
38 132 31
39 99 8
39 107 15
39 155 7
40 1 17
40 98 5
40 155 8
41 45 19
41 81 10
41 134 1
42 26 31
42 82 8
42 84 5
42 138 8
43 11 14
43 73 34
43 146 4
44 52 1
44 115 8
44 123 9
44 151 27
45 25 4
45 38 2
45 106 39
46 42 27
46 160 18
47 37 16
47 122 15
47 152 14
48 1 9
48 15 36
48 29 7
49 55 17
49 98 28
50 8 5
50 67 17
50 79 10
50 99 9
50 148 4
51 77 44
51 142 8
52 12 1
52 46 27
52 73 4
52 97 13
53 69 36
53 163 9
54 27 10
54 143 10
54 145 29
54 157 3
55 18 13
55 69 6
55 78 10
55 139 1
56 49 31
56 141 14
57 49 3
57 75 13
57 94 2
57 96 5
57 123 7
58 65 3
58 81 10
58 86 7
58 97 7
58 105 14
58 159 4
59 27 14
59 48 12
59 51 3
59 53 23
60 18 3
60 48 1
60 124 41
61 10 4
61 20 27
61 48 11
61 163 10
62 44 45
62 150 7
63 0 18
63 45 1
63 56 26
64 19 4
64 41 30
64 48 7
64 88 8
64 155 3
65 40 3
65 51 2
65 87 38
65 157 9
66 16 7
66 23 11
66 76 23
66 159 11
67 66 21
67 91 15
67 129 16
68 2 5
68 24 6
68 144 34
69 0 21
69 56 18
69 61 6
70 43 9
70 103 3
70 143 7
70 155 6
70 161 20
71 98 8
71 143 22
72 97 4
72 148 48
73 33 9
73 58 25
73 166 18
74 6 22
74 118 23
75 31 3
75 63 25
75 68 17
76 86 1
76 137 24
76 139 27
77 37 7
77 66 21
77 105 8
77 121 8
77 139 8
78 25 27
78 130 7
78 140 11
79 19 4
79 84 1
79 90 20
79 124 8
79 134 4
79 147 1
79 152 14
80 14 6
80 42 7
80 48 11
80 78 10
80 114 7
80 159 4
81 2 21
81 58 9
81 64 22
82 20 16
82 33 6
82 144 11
82 150 12
83 38 32
83 157 20
84 28 8
84 93 21
84 119 16
85 8 10
85 78 18
85 165 17
86 67 8
86 89 4
86 112 18
87 61 23
87 115 29
88 43 15
88 81 18
88 103 1
88 156 3
88 161 15
89 71 15
89 153 30
90 38 18
90 45 20
90 112 4
90 152 3
91 31 8
91 55 11
91 75 9
91 159 11
91 166 13
92 77 5
92 86 11
92 109 29
93 21 14
93 144 7
93 147 24
94 20 2
94 70 3
94 71 2
94 135 27
94 151 18
95 46 11
95 72 24
95 85 10
96 10 3
96 74 11
96 86 5
96 150 26
97 3 19
97 47 19
97 122 7
98 11 10
98 17 7
98 34 4
98 43 2
98 77 3
98 133 3
98 164 23
99 14 1
99 93 2
99 94 10
99 97 8
99 105 14
99 155 10
100 47 4
100 53 4
100 70 4
100 98 11
100 164 22
101 106 3
101 128 21
101 131 19
101 133 3
101 138 6
102 106 10
102 165 35
103 64 24
103 73 1
103 141 27
104 62 12
104 92 18
105 62 20
105 136 32
106 24 8
106 60 13
106 68 28
106 89 3
107 23 18
107 59 13
107 126 5
107 155 9
108 17 21
108 33 29
108 122 2
109 23 14
109 51 4
109 58 3
109 86 1
109 112 23
110 90 7
110 156 11
110 160 27
111 35 37
111 85 8
112 21 8
112 96 6
112 113 1
112 149 30
113 2 6
113 30 2
113 142 22
114 55 2
114 94 5
114 137 14
114 140 2
114 158 22
115 36 45
116 23 3
116 34 3
116 73 10
116 132 14
117 22 13
117 48 9
117 58 6
117 100 2
118 23 4
118 27 28
118 111 7
118 134 6
119 0 13
119 32 13
